"country","event","window","n_days","acute_soundings","NIRvR_pct","A_SIF_pct","A_PhiF_residual_pct","A_PhiF_direct_pct","B_SIF_pct","B_PhiF_residual_pct","B_PhiF_direct_pct","Diff_SIF_pp","Diff_PhiF_residual_pp","Diff_PhiF_direct_pp","SIF_sign_changed","PhiF_sign_changed"
"Mozambique","Desmond_2019","recov3",7,NA,13.4060328163886,0.635442872884196,-11.2609440841483,111.028880153768,-0.584835478709552,-12.3369700426345,98.3627595455768,-1.22027835159375,-1.07602595848623,-12.6661206081909,"YES","no"
"Mozambique","Eloise_2021","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Eloise_2021","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Eloise_2021","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Eloise_2021","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Eloise_2021","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Eloise_2021","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Guambe_2021","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Guambe_2021","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Guambe_2021","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Guambe_2021","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Guambe_2021","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Guambe_2021","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","Idai_2019","baseline",7,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Mozambique","Idai_2019","pre7",7,NA,4.62722069434628,6.07806448637772,1.38667909020527,0.620148320473821,5.04106719919496,0.395543819382982,-0.324776393607123,-1.03699728718276,-0.991135270822285,-0.944924714080944,"no","no"
"Mozambique","Idai_2019","acute",7,4139,7.01285271621178,-6.02307679649862,-12.1816484486032,-21.258185829846,-8.00611595125915,-14.0347334794446,-23.8021139031512,-1.98303915476053,-1.85308503084145,-2.54392807330524,"no","no"
"Mozambique","Idai_2019","early",7,NA,5.9761533446805,4.88072490826332,-1.03365559311664,-5.32019753696308,4.80801182678354,-1.10226827548424,-5.73895677566412,-0.0727130814797734,-0.068612682367597,-0.418759238701035,"no","no"
"Mozambique","Idai_2019","recov2",4,NA,-7.94859156937845,-13.1347193075394,-5.63394718948777,-7.65633338939266,-12.3096755541961,-4.73766133421476,-6.01082376853228,0.825043753343246,0.896285855273005,1.64550962086038,"no","no"
"Mozambique","Idai_2019","recov3",7,NA,6.98295768372798,9.87940410187523,2.70739048616506,3.18718396621293,8.59418706224579,1.50606172553303,1.52885548184063,-1.28521703962944,-1.20132876063204,-1.6583284843723,"no","no"
"Mozambique","Kenneth_2019","baseline",6,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Mozambique","Kenneth_2019","pre7",4,NA,-10.3985687346634,-17.5286948761756,-7.95760295435214,-7.93519585312742,-15.5883050460324,-5.79202389747623,-6.65494255908076,1.94038983014319,2.16557905687591,1.28025329404666,"no","no"
"Mozambique","Kenneth_2019","acute",1,121,-15.0963392681156,-32.1615729101177,-20.0995263277188,-17.428968604031,-29.5651232888425,-17.0414136398871,-15.4126535910075,2.59644962127528,3.05811268783162,2.01631501302348,"no","no"
"Mozambique","Kenneth_2019","early",4,NA,-19.907448473024,-4.06985493011667,19.7741153714813,17.5361893768831,-1.92673405084536,22.4499208470372,18.572285525418,2.1431208792713,2.67580547555595,1.03609614853489,"no","no"
"Mozambique","Kenneth_2019","recov2",3,NA,-14.9805198996801,-6.44962178785764,10.0340511395227,12.864533926128,-3.33240471749723,13.7005250660655,15.5624552344702,3.11721707036041,3.66647392654273,2.69792130834217,"no","no"
"Mozambique","Kenneth_2019","recov3",3,NA,-10.5014159857614,-3.49005361979342,7.8340483742765,7.75684140147325,1.25880086991239,13.14011499199,11.9296730619343,4.74885448970581,5.30606661771353,4.17283166046108,"YES","no"
"South_Africa","Eloise_2021","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South_Africa","Eloise_2021","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South_Africa","Eloise_2021","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South_Africa","Eloise_2021","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South_Africa","Eloise_2021","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South_Africa","Eloise_2021","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","Chalane_2020","baseline",6,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Zimbabwe","Chalane_2020","pre7",6,NA,12.8338116415166,20.2232231205072,6.54893366756717,0.969069342616176,18.8561483482493,5.33735111764744,-0.0813194979515082,-1.36707477225791,-1.21158254991973,-1.05038884056768,"no","no"
"Zimbabwe","Chalane_2020","acute",2,515,-16.9667318093488,-42.9072183723596,-31.2410761713598,-22.4133741113878,-34.6055366213634,-21.2430573869673,-16.023517015358,8.30168175099624,9.99801878439242,6.38985709602983,"no","no"
"Zimbabwe","Chalane_2020","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","Chalane_2020","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","Chalane_2020","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","Eloise_2021","baseline",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","Eloise_2021","pre7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","Eloise_2021","acute",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","Eloise_2021","early",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","Eloise_2021","recov2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","Eloise_2021","recov3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zimbabwe","Idai_2019","baseline",6,NA,0,0,0,0,0,0,0,0,0,0,"no","no"
"Zimbabwe","Idai_2019","pre7",7,NA,-9.79771704440526,-25.2025135478002,-17.0780561185779,-15.8699910770686,-23.8668201872051,-15.5972805585484,-14.716360713444,1.33569336059512,1.48077556002951,1.15363036362463,"no","no"
"Zimbabwe","Idai_2019","acute",3,2962,-9.52229763306192,-37.7599431882088,-31.2095077753271,-32.6536845931967,-34.3097203957343,-27.396167358611,-29.2046217978022,3.4502227924745,3.81334041671603,3.44906279539459,"no","no"
"Zimbabwe","Idai_2019","early",4,NA,3.51454719672554,9.30212317238308,5.59107500577527,10.4993864160691,12.07090863249,8.26585409247211,12.81694726823,2.76878546010695,2.67477908669684,2.31756085216094,"no","no"
"Zimbabwe","Idai_2019","recov2",5,NA,4.76713977929869,3.23980993310403,-1.45783291346135,-0.353532189865777,3.61992959668531,-1.09500954691527,-0.425404833049464,0.380119663581278,0.362823366546083,-0.0718726431836862,"no","no"
"Zimbabwe","Idai_2019","recov3",4,NA,-2.59260855676754,-23.0751399812717,-21.0276973041015,-28.7393378184545,-21.5029569611648,-19.4136688440301,-26.8251721548071,1.5721830201069,1.61402846007137,1.91416566364735,"no","no"
